_id,name,abbreviation,homeurl,usesmicrodata,usesogp,usesrdf,usesxml,language,consumerprotectionurl,correctionsurl,bankingurl,notes,onlinevoterreg,votingurl,checkvoterreg,pscurl,mvadmvurl
1,alabama,AL,http://www.alabama.gov/,1,0,1,1,,http://www.ago.state.al.us/,http://www.doc.state.al.us/,http://www.banking.alabama.gov/,,,https://www.alabamavotes.gov/olvr/intro.aspx,https://myinfo.alabamavotes.gov/VoterView/RegistrantSearch.do,http://www.psc.state.al.us/,http://ador.alabama.gov/motorvehicle/
2,alaska,AK,http://alaska.gov/,0,1,1,0,,,,,,,https://voterregistration.alaska.gov/Registration/RegistrationDetails?haveValidAKDL=true,https://myvoterinformation.alaska.gov,,
3,arizona,AZ,http://az.gov/,0,0,1,1,,,,,,,https://servicearizona.com/webapp/evoter/register?execution=e1s2,https://voter.azsos.gov/VoterView/RegistrantSearch.do,,
4,arkansas,AR,http://www.arkansas.gov/,1,0,1,0,,,,,,,http://www.sos.arkansas.gov/elections/Pages/request-app-through-mail.aspx,https://www.voterview.ar-nova.org/VoterView/RegistrantSearch.do,,
5,california,CA,http://www.ca.gov/,0,1,1,0,,,,,,,https://covr.sos.ca.gov/?language=en-US,http://www.sos.ca.gov/elections/registration-status/,,
6,colorado,CO,http://www.colorado.gov/,0,1,1,1,,,,,,,https://www.sos.state.co.us/voter-classic/pages/pub/olvr/verifyNewVoter.xhtml,https://www.sos.state.co.us/voter-classic/pages/pub/olvr/findVoterReg.xhtml,,
7,connecticut,CT,http://www.ct.gov/,0,1,1,1,,,,,,,https://voterregistration.ct.gov/OLVR/welcome.do,http://www.sots.ct.gov/sots/cwp/view.asp?a=3172&q=512796,,
8,district-of-columbia,DC,http://www.dc.gov,1,0,1,1,,,,,,,https://www.vote4dc.com/ApplyInstructions/Register,https://www.dcboee.org/voter_info/reg_status/,,
9,delaware,DE,http://www.delaware.gov/,1,0,0,0,,,,,,,https://ivote.de.gov/voterlogin.aspx,https://ivote.de.gov/voterlogin.aspx,,
10,florida,FL,http://www.myflorida.com/,0,0,0,0,,,,,,,http://dos.myflorida.com/elections/for-voters/voter-registration/register-to-vote-or-update-your-information/,http://registration.elections.myflorida.com/CheckVoterStatus,,
11,georgia,GA,http://www.georgia.gov/,0,1,0,0,,,,,,,https://registertovote.sos.ga.gov/GAOLVR/welcome.do#no-back-button,https://www.mvp.sos.ga.gov/MVP/mvp.do,,
12,hawaii,HI,http://portal.ehawaii.gov/,1,1,0,0,,,,,,,https://olvr.hawaii.gov/register.aspx,https://olvr.hawaii.gov/register.aspx,,
13,idaho,ID,http://www.idaho.gov/home/index.html,0,0,0,1,,,,,no online voter reg,0,http://www.idahovotes.gov/VoterReg/voter_registration.pdf,http://www.idahovotes.gov/YPP_NEW/AmIRegistered.aspx,,
14,illinois,IL,http://www.illinois.gov/Pages/default.aspx,0,0,0,0,,,,,aspx; multipage voter reg,1,https://ova.elections.il.gov/,http://www.elections.il.gov/VotingInformation/RegistrationLookup.aspx,,
15,indiana,IN,http://www.in.gov/,1,1,1,0,,,,,aspx; ,1,https://indianavoters.in.gov/PublicSite/OVR/Introduction.aspx?Link=Polling,https://indianavoters.in.gov/PublicSite/Public/FT1/PublicLookupMain.aspx?Link=Registration,,
16,iowa,IA,http://www.iowa.gov/,1,0,1,1,,,,,aspx;,1,https://mymvd.iowadot.gov/Account/Login?ReturnUrl=%2fVoterRegistration,https://sos.iowa.gov/elections/voterreg/regtovote/search.aspx,,
17,kansas,KS,http://www.kansas.gov/,1,1,0,0,,,,,j2ee/do for voter check; aspx for voter reg,1,https://www.kdor.org/voterregistration/Default.aspx?ref=voteusa,https://myvoteinfo.voteks.org/VoterView/RegistrantSearch.do,,
18,kentucky,KY,http://www.kentucky.gov/Pages/home.aspx,0,0,0,1,,,,,aspx;,1,https://vrsws.sos.ky.gov/ovrweb/,https://vrsws.sos.ky.gov/vic/,,
